event_index,true_population,condition,replicate
0,junk_debris,control,4
1,Neutrophil,control,4
2,NK,control,4
3,junk_dead,control,4
4,junk_doublet,control,4
5,CD4_T,control,4
6,CD8_T,control,4
7,junk_doublet,control,4
8,junk_debris,control,4
9,junk_dead,control,4
10,junk_debris,control,4
11,junk_debris,control,4
12,Myeloid,control,4
13,B,control,4
14,junk_doublet,control,4
15,junk_doublet,control,4
16,B,control,4
17,NK,control,4
18,junk_doublet,control,4
19,junk_debris,control,4
20,junk_debris,control,4
21,junk_doublet,control,4
22,Myeloid,control,4
23,junk_doublet,control,4
24,junk_noise,control,4
25,junk_debris,control,4
26,junk_debris,control,4
27,Myeloid,control,4
28,junk_doublet,control,4
29,Neutrophil,control,4
30,Neutrophil,control,4
31,junk_doublet,control,4
32,CD8_T,control,4
33,junk_debris,control,4
34,junk_debris,control,4
35,Myeloid,control,4
36,B,control,4
37,junk_debris,control,4
38,CD8_T,control,4
39,Myeloid,control,4
40,junk_doublet,control,4
41,junk_debris,control,4
42,junk_debris,control,4
43,junk_dead,control,4
44,junk_noise,control,4
45,junk_dead,control,4
46,junk_doublet,control,4
47,Myeloid,control,4
48,Neutrophil,control,4
49,junk_dead,control,4
50,junk_doublet,control,4
51,junk_doublet,control,4
52,Myeloid,control,4
53,junk_noise,control,4
54,junk_dead,control,4
55,junk_debris,control,4
56,Myeloid,control,4
57,B,control,4
58,junk_doublet,control,4
59,junk_debris,control,4
60,junk_debris,control,4
61,junk_debris,control,4
62,Neutrophil,control,4
63,junk_dead,control,4
64,NK,control,4
65,junk_doublet,control,4
66,Myeloid,control,4
67,Neutrophil,control,4
68,junk_doublet,control,4
69,junk_noise,control,4
70,CD8_T,control,4
71,junk_debris,control,4
72,junk_dead,control,4
73,DC,control,4
74,junk_dead,control,4
75,CD4_T,control,4
76,NK,control,4
77,Myeloid,control,4
78,junk_doublet,control,4
79,junk_debris,control,4
80,junk_doublet,control,4
81,junk_dead,control,4
82,CD8_T,control,4
83,junk_doublet,control,4
84,junk_noise,control,4
85,junk_doublet,control,4
86,junk_doublet,control,4
87,junk_dead,control,4
88,CD4_T,control,4
89,junk_doublet,control,4
90,CD4_T,control,4
91,junk_debris,control,4
92,B,control,4
93,junk_debris,control,4
94,B,control,4
95,junk_debris,control,4
96,Myeloid,control,4
97,junk_debris,control,4
98,CD4_T,control,4
99,B,control,4
100,B,control,4
101,junk_dead,control,4
102,CD4_T,control,4
103,junk_doublet,control,4
104,B,control,4
105,junk_dead,control,4
106,junk_dead,control,4
107,junk_doublet,control,4
108,junk_debris,control,4
109,Myeloid,control,4
110,CD8_T,control,4
111,junk_noise,control,4
112,junk_dead,control,4
113,junk_dead,control,4
114,Myeloid,control,4
115,Myeloid,control,4
116,CD8_T,control,4
117,junk_doublet,control,4
118,DC,control,4
119,junk_noise,control,4
120,junk_dead,control,4
121,B,control,4
122,B,control,4
123,Myeloid,control,4
124,junk_dead,control,4
125,B,control,4
126,junk_doublet,control,4
127,junk_dead,control,4
128,junk_debris,control,4
129,junk_noise,control,4
130,junk_noise,control,4
131,junk_noise,control,4
132,CD4_T,control,4
133,Myeloid,control,4
134,junk_dead,control,4
135,NK,control,4
136,CD8_T,control,4
137,junk_dead,control,4
138,junk_doublet,control,4
139,B,control,4
140,Neutrophil,control,4
141,junk_noise,control,4
142,junk_dead,control,4
143,junk_debris,control,4
144,junk_debris,control,4
145,junk_debris,control,4
146,junk_debris,control,4
147,junk_dead,control,4
148,CD4_T,control,4
149,junk_dead,control,4
150,Neutrophil,control,4
151,NK,control,4
152,junk_debris,control,4
153,junk_debris,control,4
154,junk_dead,control,4
155,CD4_T,control,4
156,junk_doublet,control,4
157,junk_dead,control,4
158,CD4_T,control,4
159,junk_doublet,control,4
160,junk_debris,control,4
161,CD4_T,control,4
162,junk_dead,control,4
163,junk_doublet,control,4
164,junk_doublet,control,4
165,junk_dead,control,4
166,junk_dead,control,4
167,junk_doublet,control,4
168,junk_debris,control,4
169,junk_doublet,control,4
170,Myeloid,control,4
171,junk_doublet,control,4
172,NK,control,4
173,junk_dead,control,4
174,junk_doublet,control,4
175,junk_debris,control,4
176,junk_debris,control,4
177,B,control,4
178,junk_debris,control,4
179,junk_debris,control,4
180,junk_dead,control,4
181,B,control,4
182,junk_doublet,control,4
183,B,control,4
184,junk_noise,control,4
185,junk_noise,control,4
186,Myeloid,control,4
187,Neutrophil,control,4
188,Neutrophil,control,4
189,junk_debris,control,4
190,junk_debris,control,4
191,junk_debris,control,4
192,CD4_T,control,4
193,junk_debris,control,4
194,junk_noise,control,4
195,junk_doublet,control,4
196,junk_doublet,control,4
197,junk_debris,control,4
198,Myeloid,control,4
199,junk_dead,control,4
200,DC,control,4
201,Myeloid,control,4
202,junk_debris,control,4
203,NK,control,4
204,junk_noise,control,4
205,junk_noise,control,4
206,junk_dead,control,4
207,CD4_T,control,4
208,junk_doublet,control,4
209,CD8_T,control,4
210,junk_doublet,control,4
211,CD8_T,control,4
212,junk_debris,control,4
213,junk_doublet,control,4
214,junk_dead,control,4
215,junk_doublet,control,4
216,junk_doublet,control,4
217,B,control,4
218,junk_dead,control,4
219,junk_noise,control,4
220,junk_debris,control,4
221,junk_doublet,control,4
222,junk_doublet,control,4
223,Neutrophil,control,4
224,junk_debris,control,4
225,junk_debris,control,4
226,Neutrophil,control,4
227,junk_debris,control,4
228,junk_noise,control,4
229,B,control,4
230,junk_dead,control,4
231,junk_noise,control,4
232,junk_doublet,control,4
233,junk_doublet,control,4
234,CD4_T,control,4
235,CD4_T,control,4
236,CD4_T,control,4
237,junk_noise,control,4
238,junk_doublet,control,4
239,Myeloid,control,4
240,junk_debris,control,4
241,junk_debris,control,4
242,junk_noise,control,4
243,junk_debris,control,4
244,junk_doublet,control,4
245,junk_noise,control,4
246,CD8_T,control,4
247,junk_doublet,control,4
248,junk_doublet,control,4
249,CD4_T,control,4
250,CD4_T,control,4
251,junk_doublet,control,4
252,junk_dead,control,4
253,B,control,4
254,junk_dead,control,4
255,Neutrophil,control,4
256,junk_debris,control,4
257,CD4_T,control,4
258,junk_doublet,control,4
259,Myeloid,control,4
260,junk_debris,control,4
261,junk_debris,control,4
262,junk_debris,control,4
263,Neutrophil,control,4
264,junk_noise,control,4
265,Myeloid,control,4
266,junk_noise,control,4
267,B,control,4
268,junk_noise,control,4
269,junk_debris,control,4
270,CD8_T,control,4
271,junk_dead,control,4
