event_index,true_population,condition,replicate
0,junk_doublet,treatment,3
1,junk_debris,treatment,3
2,junk_dead,treatment,3
3,B,treatment,3
4,B,treatment,3
5,CD8_T,treatment,3
6,junk_doublet,treatment,3
7,junk_debris,treatment,3
8,junk_debris,treatment,3
9,junk_dead,treatment,3
10,Neutrophil,treatment,3
11,junk_debris,treatment,3
12,junk_doublet,treatment,3
13,junk_dead,treatment,3
14,B,treatment,3
15,junk_debris,treatment,3
16,junk_noise,treatment,3
17,junk_dead,treatment,3
18,junk_debris,treatment,3
19,junk_dead,treatment,3
20,junk_dead,treatment,3
21,CD8_T,treatment,3
22,junk_debris,treatment,3
23,B,treatment,3
24,Myeloid,treatment,3
25,junk_debris,treatment,3
26,junk_debris,treatment,3
27,junk_debris,treatment,3
28,junk_debris,treatment,3
29,junk_dead,treatment,3
30,junk_dead,treatment,3
31,junk_doublet,treatment,3
32,B,treatment,3
33,junk_doublet,treatment,3
34,junk_doublet,treatment,3
35,junk_noise,treatment,3
36,junk_noise,treatment,3
37,junk_doublet,treatment,3
38,junk_dead,treatment,3
39,junk_debris,treatment,3
40,CD4_T,treatment,3
41,junk_debris,treatment,3
42,junk_doublet,treatment,3
43,junk_debris,treatment,3
44,junk_debris,treatment,3
45,CD8_T,treatment,3
46,junk_doublet,treatment,3
47,junk_doublet,treatment,3
48,B,treatment,3
49,junk_dead,treatment,3
50,junk_debris,treatment,3
51,junk_doublet,treatment,3
52,junk_noise,treatment,3
53,B,treatment,3
54,junk_doublet,treatment,3
55,B,treatment,3
56,Myeloid,treatment,3
57,Myeloid,treatment,3
58,junk_dead,treatment,3
59,B,treatment,3
60,junk_dead,treatment,3
61,junk_debris,treatment,3
62,junk_dead,treatment,3
63,junk_debris,treatment,3
64,junk_dead,treatment,3
65,CD4_T,treatment,3
66,junk_noise,treatment,3
67,B,treatment,3
68,Myeloid,treatment,3
69,junk_debris,treatment,3
70,junk_debris,treatment,3
71,junk_noise,treatment,3
72,Neutrophil,treatment,3
73,junk_debris,treatment,3
74,junk_debris,treatment,3
75,CD4_T,treatment,3
76,junk_noise,treatment,3
77,junk_dead,treatment,3
78,junk_doublet,treatment,3
79,junk_doublet,treatment,3
80,CD8_T,treatment,3
81,CD4_T,treatment,3
82,B,treatment,3
83,junk_debris,treatment,3
84,junk_debris,treatment,3
85,junk_debris,treatment,3
86,Myeloid,treatment,3
87,junk_noise,treatment,3
88,junk_debris,treatment,3
89,junk_doublet,treatment,3
90,Neutrophil,treatment,3
91,junk_doublet,treatment,3
