event_index,true_population,condition,replicate
0,junk_debris,control,2
1,junk_debris,control,2
2,CD4_T,control,2
3,Myeloid,control,2
4,junk_doublet,control,2
5,junk_doublet,control,2
6,junk_dead,control,2
7,junk_debris,control,2
8,junk_debris,control,2
9,junk_debris,control,2
10,junk_debris,control,2
11,junk_debris,control,2
12,junk_noise,control,2
13,junk_debris,control,2
14,B,control,2
15,junk_debris,control,2
16,NK,control,2
17,junk_dead,control,2
18,B,control,2
19,junk_debris,control,2
20,B,control,2
21,B,control,2
22,Neutrophil,control,2
23,junk_dead,control,2
24,junk_doublet,control,2
25,Neutrophil,control,2
26,junk_doublet,control,2
27,junk_dead,control,2
28,Neutrophil,control,2
29,junk_debris,control,2
30,junk_dead,control,2
31,junk_debris,control,2
32,CD8_T,control,2
33,Myeloid,control,2
34,junk_doublet,control,2
35,junk_doublet,control,2
36,junk_debris,control,2
37,CD4_T,control,2
38,junk_doublet,control,2
39,junk_doublet,control,2
40,junk_noise,control,2
41,CD4_T,control,2
42,junk_dead,control,2
43,B,control,2
44,B,control,2
45,CD8_T,control,2
46,junk_debris,control,2
47,junk_dead,control,2
48,CD4_T,control,2
49,junk_doublet,control,2
50,junk_debris,control,2
51,junk_debris,control,2
52,Neutrophil,control,2
53,junk_dead,control,2
54,junk_debris,control,2
55,junk_debris,control,2
56,B,control,2
57,junk_doublet,control,2
58,CD4_T,control,2
59,junk_doublet,control,2
60,B,control,2
61,junk_doublet,control,2
62,junk_doublet,control,2
63,junk_dead,control,2
64,Neutrophil,control,2
65,junk_doublet,control,2
66,CD8_T,control,2
67,CD4_T,control,2
68,junk_noise,control,2
69,Neutrophil,control,2
70,junk_debris,control,2
71,junk_debris,control,2
72,junk_debris,control,2
73,B,control,2
74,junk_doublet,control,2
75,junk_dead,control,2
76,CD4_T,control,2
77,junk_debris,control,2
78,junk_dead,control,2
79,junk_dead,control,2
80,CD4_T,control,2
81,junk_dead,control,2
82,junk_debris,control,2
83,junk_doublet,control,2
84,CD8_T,control,2
85,junk_debris,control,2
86,junk_dead,control,2
87,Neutrophil,control,2
88,junk_doublet,control,2
89,B,control,2
90,CD4_T,control,2
91,junk_dead,control,2
92,CD8_T,control,2
93,junk_doublet,control,2
94,junk_debris,control,2
95,junk_doublet,control,2
96,junk_noise,control,2
97,junk_debris,control,2
98,B,control,2
99,junk_noise,control,2
100,Neutrophil,control,2
101,junk_debris,control,2
102,junk_debris,control,2
103,junk_noise,control,2
104,junk_dead,control,2
105,junk_debris,control,2
106,junk_dead,control,2
107,CD4_T,control,2
108,junk_debris,control,2
109,B,control,2
110,junk_debris,control,2
111,junk_doublet,control,2
112,Myeloid,control,2
113,junk_dead,control,2
114,junk_dead,control,2
115,junk_doublet,control,2
116,junk_noise,control,2
117,B,control,2
118,junk_debris,control,2
119,junk_dead,control,2
120,B,control,2
121,junk_debris,control,2
122,Myeloid,control,2
123,Neutrophil,control,2
124,junk_noise,control,2
125,junk_dead,control,2
126,Neutrophil,control,2
127,B,control,2
128,junk_noise,control,2
129,CD4_T,control,2
130,junk_noise,control,2
131,B,control,2
132,Myeloid,control,2
133,junk_dead,control,2
134,CD8_T,control,2
135,junk_doublet,control,2
136,B,control,2
137,junk_doublet,control,2
138,Myeloid,control,2
139,junk_doublet,control,2
140,B,control,2
141,junk_dead,control,2
142,junk_noise,control,2
143,junk_debris,control,2
144,junk_doublet,control,2
145,Neutrophil,control,2
146,junk_dead,control,2
147,junk_debris,control,2
148,junk_debris,control,2
149,junk_dead,control,2
150,junk_noise,control,2
151,CD8_T,control,2
152,junk_noise,control,2
153,junk_noise,control,2
154,junk_noise,control,2
155,junk_debris,control,2
156,B,control,2
157,junk_dead,control,2
158,junk_dead,control,2
159,junk_debris,control,2
160,Myeloid,control,2
161,junk_debris,control,2
162,junk_dead,control,2
163,junk_dead,control,2
164,junk_dead,control,2
165,B,control,2
166,junk_noise,control,2
167,CD4_T,control,2
168,junk_dead,control,2
169,junk_doublet,control,2
170,junk_dead,control,2
171,Myeloid,control,2
172,junk_dead,control,2
173,junk_noise,control,2
174,junk_debris,control,2
175,junk_debris,control,2
176,NK,control,2
177,junk_dead,control,2
178,junk_doublet,control,2
179,junk_dead,control,2
180,CD4_T,control,2
181,CD4_T,control,2
182,Neutrophil,control,2
183,junk_noise,control,2
184,junk_debris,control,2
185,junk_doublet,control,2
186,B,control,2
187,junk_dead,control,2
188,junk_dead,control,2
189,junk_dead,control,2
190,junk_noise,control,2
191,junk_doublet,control,2
192,junk_doublet,control,2
193,junk_doublet,control,2
194,junk_debris,control,2
195,CD4_T,control,2
196,Myeloid,control,2
197,junk_noise,control,2
198,B,control,2
199,junk_debris,control,2
200,CD4_T,control,2
201,junk_doublet,control,2
202,junk_dead,control,2
203,junk_debris,control,2
204,junk_doublet,control,2
205,junk_doublet,control,2
206,junk_debris,control,2
207,Myeloid,control,2
208,junk_dead,control,2
209,junk_debris,control,2
210,junk_dead,control,2
211,DC,control,2
212,junk_noise,control,2
213,junk_noise,control,2
214,CD4_T,control,2
215,junk_dead,control,2
216,junk_debris,control,2
217,junk_dead,control,2
218,junk_dead,control,2
219,junk_noise,control,2
220,junk_debris,control,2
221,junk_dead,control,2
222,junk_debris,control,2
223,junk_noise,control,2
224,junk_dead,control,2
225,junk_doublet,control,2
226,junk_doublet,control,2
227,CD8_T,control,2
228,Neutrophil,control,2
229,junk_doublet,control,2
230,junk_debris,control,2
231,junk_doublet,control,2
232,B,control,2
233,junk_noise,control,2
234,B,control,2
235,junk_debris,control,2
236,junk_debris,control,2
237,junk_doublet,control,2
238,junk_debris,control,2
239,B,control,2
240,B,control,2
241,B,control,2
242,B,control,2
243,Neutrophil,control,2
244,junk_debris,control,2
245,junk_debris,control,2
246,junk_debris,control,2
247,CD4_T,control,2
248,B,control,2
249,CD8_T,control,2
250,junk_debris,control,2
251,junk_dead,control,2
252,junk_debris,control,2
253,CD4_T,control,2
254,B,control,2
255,CD4_T,control,2
256,junk_dead,control,2
257,junk_debris,control,2
258,junk_debris,control,2
259,Myeloid,control,2
260,CD4_T,control,2
261,junk_debris,control,2
262,junk_debris,control,2
263,junk_debris,control,2
264,junk_doublet,control,2
265,junk_debris,control,2
266,B,control,2
267,Myeloid,control,2
268,CD4_T,control,2
269,junk_debris,control,2
270,B,control,2
271,junk_noise,control,2
272,junk_dead,control,2
273,junk_debris,control,2
274,junk_debris,control,2
275,junk_debris,control,2
276,CD8_T,control,2
277,NK,control,2
278,B,control,2
279,junk_noise,control,2
280,B,control,2
281,junk_dead,control,2
282,junk_doublet,control,2
283,junk_dead,control,2
284,junk_doublet,control,2
285,junk_doublet,control,2
286,B,control,2
287,junk_debris,control,2
288,CD8_T,control,2
289,Myeloid,control,2
290,junk_doublet,control,2
291,Myeloid,control,2
292,junk_debris,control,2
293,junk_dead,control,2
294,junk_noise,control,2
295,junk_doublet,control,2
296,junk_noise,control,2
297,junk_debris,control,2
298,junk_doublet,control,2
299,junk_debris,control,2
300,junk_debris,control,2
301,junk_dead,control,2
302,junk_doublet,control,2
303,junk_noise,control,2
304,junk_debris,control,2
305,junk_dead,control,2
306,NK,control,2
307,B,control,2
308,junk_doublet,control,2
309,junk_dead,control,2
310,CD4_T,control,2
311,B,control,2
312,junk_debris,control,2
313,junk_debris,control,2
314,NK,control,2
315,junk_dead,control,2
316,B,control,2
317,junk_dead,control,2
318,junk_debris,control,2
319,junk_debris,control,2
320,junk_debris,control,2
321,junk_doublet,control,2
322,junk_doublet,control,2
323,junk_doublet,control,2
324,junk_doublet,control,2
325,junk_doublet,control,2
326,junk_doublet,control,2
327,junk_noise,control,2
328,CD4_T,control,2
329,junk_noise,control,2
330,junk_debris,control,2
331,junk_noise,control,2
332,junk_noise,control,2
333,Myeloid,control,2
334,junk_doublet,control,2
335,junk_noise,control,2
336,junk_dead,control,2
337,CD8_T,control,2
338,junk_debris,control,2
339,CD4_T,control,2
340,junk_debris,control,2
341,CD4_T,control,2
342,junk_debris,control,2
343,junk_debris,control,2
344,junk_dead,control,2
345,CD4_T,control,2
346,junk_debris,control,2
347,junk_dead,control,2
348,junk_dead,control,2
349,Neutrophil,control,2
350,CD4_T,control,2
351,junk_doublet,control,2
352,junk_dead,control,2
353,junk_noise,control,2
354,Myeloid,control,2
355,junk_debris,control,2
356,junk_debris,control,2
357,junk_dead,control,2
358,CD8_T,control,2
359,Neutrophil,control,2
360,Neutrophil,control,2
361,junk_debris,control,2
362,junk_dead,control,2
363,junk_doublet,control,2
364,junk_dead,control,2
365,junk_doublet,control,2
366,junk_debris,control,2
367,junk_noise,control,2
368,B,control,2
369,CD8_T,control,2
370,B,control,2
371,junk_dead,control,2
372,junk_noise,control,2
373,junk_dead,control,2
374,CD8_T,control,2
375,junk_debris,control,2
376,junk_dead,control,2
377,junk_dead,control,2
378,B,control,2
379,junk_dead,control,2
380,junk_debris,control,2
381,junk_doublet,control,2
382,B,control,2
383,junk_doublet,control,2
384,junk_dead,control,2
385,junk_doublet,control,2
386,junk_debris,control,2
387,junk_doublet,control,2
388,CD4_T,control,2
389,junk_dead,control,2
390,junk_dead,control,2
391,junk_doublet,control,2
392,CD8_T,control,2
393,junk_debris,control,2
394,Myeloid,control,2
395,junk_dead,control,2
396,Myeloid,control,2
397,B,control,2
398,junk_debris,control,2
399,CD4_T,control,2
400,CD8_T,control,2
401,junk_noise,control,2
402,junk_debris,control,2
403,junk_doublet,control,2
404,junk_noise,control,2
405,junk_dead,control,2
406,junk_debris,control,2
407,junk_debris,control,2
408,CD4_T,control,2
409,junk_dead,control,2
410,NK,control,2
411,junk_noise,control,2
412,junk_debris,control,2
413,junk_debris,control,2
414,junk_doublet,control,2
415,B,control,2
416,Myeloid,control,2
417,junk_debris,control,2
418,junk_debris,control,2
419,junk_doublet,control,2
420,Myeloid,control,2
421,junk_dead,control,2
422,NK,control,2
423,B,control,2
424,junk_dead,control,2
425,junk_dead,control,2
426,CD4_T,control,2
427,junk_debris,control,2
428,CD4_T,control,2
429,junk_debris,control,2
430,B,control,2
431,Myeloid,control,2
432,junk_dead,control,2
433,junk_debris,control,2
434,junk_noise,control,2
435,junk_dead,control,2
436,Myeloid,control,2
437,Myeloid,control,2
438,junk_dead,control,2
439,Neutrophil,control,2
440,junk_debris,control,2
441,CD8_T,control,2
442,junk_dead,control,2
443,junk_noise,control,2
444,junk_debris,control,2
445,Neutrophil,control,2
446,Neutrophil,control,2
447,junk_doublet,control,2
448,junk_debris,control,2
449,junk_doublet,control,2
450,junk_debris,control,2
451,CD8_T,control,2
452,Myeloid,control,2
453,junk_debris,control,2
454,junk_debris,control,2
455,Myeloid,control,2
456,junk_dead,control,2
457,junk_debris,control,2
458,junk_debris,control,2
459,junk_debris,control,2
460,junk_debris,control,2
461,junk_debris,control,2
462,Myeloid,control,2
463,junk_dead,control,2
464,junk_doublet,control,2
465,junk_doublet,control,2
466,Neutrophil,control,2
467,Myeloid,control,2
468,junk_debris,control,2
469,junk_doublet,control,2
470,junk_dead,control,2
471,B,control,2
472,Myeloid,control,2
473,junk_debris,control,2
474,B,control,2
475,junk_dead,control,2
476,B,control,2
477,junk_doublet,control,2
478,CD4_T,control,2
479,B,control,2
480,junk_debris,control,2
481,junk_doublet,control,2
482,junk_noise,control,2
483,junk_debris,control,2
484,junk_debris,control,2
485,junk_noise,control,2
486,junk_debris,control,2
487,junk_dead,control,2
488,junk_noise,control,2
489,junk_dead,control,2
490,Neutrophil,control,2
491,junk_doublet,control,2
492,junk_doublet,control,2
493,junk_doublet,control,2
494,junk_doublet,control,2
495,junk_doublet,control,2
496,junk_dead,control,2
497,Myeloid,control,2
498,junk_dead,control,2
499,junk_debris,control,2
500,junk_dead,control,2
501,junk_debris,control,2
502,B,control,2
503,CD8_T,control,2
504,junk_dead,control,2
505,NK,control,2
506,B,control,2
507,CD4_T,control,2
508,B,control,2
509,junk_dead,control,2
510,junk_noise,control,2
511,junk_debris,control,2
512,Neutrophil,control,2
513,junk_dead,control,2
514,junk_noise,control,2
515,junk_doublet,control,2
516,junk_debris,control,2
517,Neutrophil,control,2
518,junk_debris,control,2
519,junk_doublet,control,2
520,B,control,2
521,junk_noise,control,2
522,junk_doublet,control,2
523,junk_debris,control,2
524,junk_debris,control,2
525,CD4_T,control,2
526,junk_dead,control,2
527,junk_debris,control,2
528,junk_debris,control,2
529,junk_debris,control,2
530,junk_dead,control,2
531,B,control,2
532,junk_dead,control,2
533,Myeloid,control,2
534,Myeloid,control,2
535,CD8_T,control,2
536,CD8_T,control,2
537,Myeloid,control,2
538,B,control,2
539,B,control,2
540,B,control,2
541,Myeloid,control,2
542,CD4_T,control,2
543,junk_debris,control,2
544,CD8_T,control,2
545,junk_dead,control,2
546,junk_debris,control,2
547,B,control,2
548,junk_dead,control,2
549,junk_noise,control,2
550,CD8_T,control,2
551,Neutrophil,control,2
552,Myeloid,control,2
553,CD8_T,control,2
554,B,control,2
555,B,control,2
556,junk_doublet,control,2
557,CD8_T,control,2
558,junk_debris,control,2
559,junk_doublet,control,2
560,junk_noise,control,2
561,CD4_T,control,2
562,junk_dead,control,2
563,junk_dead,control,2
564,junk_dead,control,2
565,Myeloid,control,2
566,junk_doublet,control,2
567,Myeloid,control,2
568,Myeloid,control,2
569,junk_noise,control,2
570,junk_debris,control,2
571,junk_noise,control,2
572,CD4_T,control,2
573,junk_dead,control,2
574,junk_doublet,control,2
575,junk_dead,control,2
576,B,control,2
577,junk_debris,control,2
578,B,control,2
579,junk_debris,control,2
580,junk_debris,control,2
581,CD4_T,control,2
582,junk_noise,control,2
583,junk_noise,control,2
584,B,control,2
585,junk_doublet,control,2
586,Myeloid,control,2
587,CD8_T,control,2
588,B,control,2
589,junk_dead,control,2
590,junk_doublet,control,2
591,Myeloid,control,2
592,CD4_T,control,2
593,CD4_T,control,2
594,Neutrophil,control,2
595,junk_debris,control,2
596,junk_debris,control,2
597,Neutrophil,control,2
598,Myeloid,control,2
599,junk_debris,control,2
600,junk_noise,control,2
601,junk_noise,control,2
602,CD4_T,control,2
603,junk_dead,control,2
604,Myeloid,control,2
605,junk_debris,control,2
606,junk_noise,control,2
607,B,control,2
608,Neutrophil,control,2
609,junk_doublet,control,2
610,junk_debris,control,2
611,junk_debris,control,2
612,junk_doublet,control,2
613,junk_doublet,control,2
614,junk_dead,control,2
615,Neutrophil,control,2
616,junk_noise,control,2
617,junk_debris,control,2
618,B,control,2
619,Neutrophil,control,2
620,CD8_T,control,2
621,B,control,2
622,B,control,2
623,junk_noise,control,2
624,junk_noise,control,2
625,junk_dead,control,2
626,CD4_T,control,2
627,junk_debris,control,2
628,Myeloid,control,2
629,junk_dead,control,2
630,junk_noise,control,2
631,junk_dead,control,2
632,B,control,2
633,B,control,2
634,Myeloid,control,2
635,junk_debris,control,2
636,junk_debris,control,2
637,junk_debris,control,2
638,junk_debris,control,2
639,Myeloid,control,2
640,CD4_T,control,2
641,junk_dead,control,2
642,junk_dead,control,2
643,junk_doublet,control,2
644,junk_debris,control,2
645,CD8_T,control,2
646,CD8_T,control,2
647,junk_dead,control,2
648,Myeloid,control,2
649,junk_doublet,control,2
650,CD4_T,control,2
651,CD4_T,control,2
652,CD8_T,control,2
653,Myeloid,control,2
654,CD4_T,control,2
655,junk_doublet,control,2
656,Myeloid,control,2
657,junk_doublet,control,2
658,junk_noise,control,2
659,CD8_T,control,2
660,B,control,2
661,junk_debris,control,2
662,junk_debris,control,2
663,junk_doublet,control,2
664,B,control,2
665,junk_dead,control,2
666,NK,control,2
667,Myeloid,control,2
668,CD8_T,control,2
669,junk_dead,control,2
670,junk_debris,control,2
671,junk_noise,control,2
672,B,control,2
673,junk_debris,control,2
674,junk_doublet,control,2
675,junk_debris,control,2
676,junk_debris,control,2
677,Myeloid,control,2
678,CD4_T,control,2
679,Myeloid,control,2
680,junk_debris,control,2
681,junk_dead,control,2
682,B,control,2
683,Neutrophil,control,2
684,junk_debris,control,2
685,junk_debris,control,2
686,junk_doublet,control,2
687,Myeloid,control,2
688,junk_doublet,control,2
689,junk_dead,control,2
690,junk_debris,control,2
691,B,control,2
692,junk_doublet,control,2
693,junk_debris,control,2
694,junk_doublet,control,2
695,junk_debris,control,2
696,B,control,2
697,junk_debris,control,2
698,junk_debris,control,2
699,CD8_T,control,2
700,B,control,2
701,NK,control,2
702,junk_doublet,control,2
703,junk_noise,control,2
704,Neutrophil,control,2
705,junk_debris,control,2
706,CD8_T,control,2
707,Myeloid,control,2
708,junk_dead,control,2
709,junk_noise,control,2
710,junk_debris,control,2
711,Myeloid,control,2
712,junk_dead,control,2
713,junk_dead,control,2
714,junk_dead,control,2
715,CD4_T,control,2
716,junk_doublet,control,2
717,junk_noise,control,2
718,B,control,2
719,junk_doublet,control,2
720,CD4_T,control,2
721,junk_dead,control,2
722,junk_debris,control,2
723,junk_debris,control,2
724,junk_debris,control,2
725,junk_noise,control,2
726,Myeloid,control,2
727,junk_doublet,control,2
728,junk_dead,control,2
729,junk_noise,control,2
730,CD4_T,control,2
731,junk_debris,control,2
732,Myeloid,control,2
733,junk_debris,control,2
734,junk_debris,control,2
735,junk_debris,control,2
736,B,control,2
737,junk_doublet,control,2
738,junk_debris,control,2
739,B,control,2
740,junk_noise,control,2
741,B,control,2
742,junk_debris,control,2
743,CD4_T,control,2
744,junk_debris,control,2
745,junk_debris,control,2
746,junk_doublet,control,2
747,junk_dead,control,2
748,Myeloid,control,2
749,junk_noise,control,2
750,junk_doublet,control,2
751,junk_noise,control,2
752,junk_debris,control,2
753,B,control,2
754,B,control,2
755,junk_debris,control,2
756,junk_noise,control,2
757,B,control,2
758,CD4_T,control,2
759,CD4_T,control,2
760,junk_dead,control,2
761,junk_debris,control,2
762,junk_noise,control,2
763,B,control,2
764,junk_doublet,control,2
765,junk_noise,control,2
766,CD8_T,control,2
767,junk_doublet,control,2
768,junk_debris,control,2
769,junk_dead,control,2
770,B,control,2
771,junk_debris,control,2
772,junk_debris,control,2
773,junk_dead,control,2
774,junk_debris,control,2
775,junk_doublet,control,2
776,Myeloid,control,2
777,junk_noise,control,2
778,junk_noise,control,2
779,junk_debris,control,2
780,junk_noise,control,2
781,junk_debris,control,2
782,CD8_T,control,2
783,junk_debris,control,2
784,Neutrophil,control,2
785,CD8_T,control,2
786,junk_dead,control,2
787,junk_debris,control,2
788,junk_dead,control,2
789,junk_doublet,control,2
790,CD4_T,control,2
791,CD4_T,control,2
792,Neutrophil,control,2
793,DC,control,2
794,CD4_T,control,2
795,junk_doublet,control,2
796,CD8_T,control,2
797,CD4_T,control,2
798,junk_noise,control,2
799,junk_noise,control,2
800,junk_debris,control,2
801,Neutrophil,control,2
802,B,control,2
