event_index,true_population,condition,replicate
0,junk_noise,treatment,5
1,junk_doublet,treatment,5
2,Neutrophil,treatment,5
3,NK,treatment,5
4,junk_noise,treatment,5
5,junk_dead,treatment,5
6,junk_doublet,treatment,5
7,junk_debris,treatment,5
8,CD8_T,treatment,5
9,CD4_T,treatment,5
10,junk_dead,treatment,5
11,junk_debris,treatment,5
12,junk_doublet,treatment,5
13,junk_dead,treatment,5
14,junk_dead,treatment,5
15,junk_doublet,treatment,5
16,junk_debris,treatment,5
17,junk_debris,treatment,5
18,B,treatment,5
19,Neutrophil,treatment,5
20,junk_doublet,treatment,5
21,B,treatment,5
22,junk_noise,treatment,5
23,junk_debris,treatment,5
24,DC,treatment,5
25,junk_doublet,treatment,5
26,junk_debris,treatment,5
27,junk_debris,treatment,5
28,junk_doublet,treatment,5
29,junk_debris,treatment,5
30,Myeloid,treatment,5
31,junk_debris,treatment,5
32,B,treatment,5
33,junk_debris,treatment,5
34,junk_debris,treatment,5
35,junk_doublet,treatment,5
36,junk_dead,treatment,5
37,Myeloid,treatment,5
38,CD8_T,treatment,5
39,junk_doublet,treatment,5
40,junk_debris,treatment,5
41,CD8_T,treatment,5
42,CD4_T,treatment,5
43,junk_doublet,treatment,5
44,Myeloid,treatment,5
45,CD8_T,treatment,5
46,junk_dead,treatment,5
47,junk_debris,treatment,5
48,B,treatment,5
49,junk_debris,treatment,5
50,junk_doublet,treatment,5
51,Neutrophil,treatment,5
52,B,treatment,5
53,junk_doublet,treatment,5
54,NK,treatment,5
55,junk_noise,treatment,5
56,junk_debris,treatment,5
57,B,treatment,5
58,CD4_T,treatment,5
59,CD4_T,treatment,5
60,junk_debris,treatment,5
61,junk_debris,treatment,5
62,junk_dead,treatment,5
63,Myeloid,treatment,5
64,CD8_T,treatment,5
65,junk_doublet,treatment,5
66,junk_noise,treatment,5
67,junk_debris,treatment,5
68,junk_debris,treatment,5
69,junk_dead,treatment,5
70,junk_debris,treatment,5
71,B,treatment,5
72,junk_debris,treatment,5
73,CD4_T,treatment,5
74,junk_debris,treatment,5
75,junk_debris,treatment,5
76,junk_noise,treatment,5
77,B,treatment,5
78,junk_dead,treatment,5
79,junk_doublet,treatment,5
80,junk_debris,treatment,5
81,junk_debris,treatment,5
82,CD8_T,treatment,5
83,B,treatment,5
84,junk_noise,treatment,5
85,Neutrophil,treatment,5
86,junk_doublet,treatment,5
87,Neutrophil,treatment,5
88,junk_doublet,treatment,5
89,Neutrophil,treatment,5
90,Myeloid,treatment,5
91,junk_debris,treatment,5
92,B,treatment,5
93,junk_dead,treatment,5
94,NK,treatment,5
95,B,treatment,5
96,junk_doublet,treatment,5
97,Myeloid,treatment,5
98,B,treatment,5
99,junk_debris,treatment,5
100,CD4_T,treatment,5
101,junk_doublet,treatment,5
102,Neutrophil,treatment,5
103,NK,treatment,5
104,junk_debris,treatment,5
105,junk_debris,treatment,5
106,junk_dead,treatment,5
107,Neutrophil,treatment,5
108,junk_debris,treatment,5
109,Neutrophil,treatment,5
110,junk_dead,treatment,5
111,junk_dead,treatment,5
112,junk_debris,treatment,5
113,B,treatment,5
114,Myeloid,treatment,5
115,junk_dead,treatment,5
116,junk_noise,treatment,5
117,junk_noise,treatment,5
118,Myeloid,treatment,5
119,junk_doublet,treatment,5
120,junk_debris,treatment,5
121,Neutrophil,treatment,5
122,junk_dead,treatment,5
123,NK,treatment,5
124,B,treatment,5
125,junk_debris,treatment,5
126,Myeloid,treatment,5
127,junk_doublet,treatment,5
128,junk_debris,treatment,5
129,junk_doublet,treatment,5
130,junk_debris,treatment,5
131,junk_noise,treatment,5
132,junk_debris,treatment,5
133,Neutrophil,treatment,5
134,Neutrophil,treatment,5
135,junk_debris,treatment,5
136,junk_dead,treatment,5
137,junk_dead,treatment,5
138,junk_debris,treatment,5
139,junk_debris,treatment,5
140,B,treatment,5
141,B,treatment,5
142,B,treatment,5
143,junk_debris,treatment,5
144,junk_debris,treatment,5
145,junk_debris,treatment,5
146,junk_debris,treatment,5
147,junk_debris,treatment,5
148,junk_dead,treatment,5
149,junk_debris,treatment,5
150,junk_debris,treatment,5
151,junk_dead,treatment,5
152,junk_debris,treatment,5
153,B,treatment,5
154,CD8_T,treatment,5
155,junk_debris,treatment,5
156,junk_debris,treatment,5
157,Myeloid,treatment,5
158,junk_debris,treatment,5
159,junk_debris,treatment,5
160,junk_debris,treatment,5
161,Myeloid,treatment,5
162,junk_doublet,treatment,5
163,Myeloid,treatment,5
164,B,treatment,5
165,junk_debris,treatment,5
166,junk_debris,treatment,5
167,junk_debris,treatment,5
168,DC,treatment,5
169,junk_noise,treatment,5
170,junk_dead,treatment,5
171,CD4_T,treatment,5
172,junk_debris,treatment,5
173,junk_doublet,treatment,5
174,junk_dead,treatment,5
175,Neutrophil,treatment,5
176,junk_debris,treatment,5
177,junk_dead,treatment,5
178,junk_debris,treatment,5
179,junk_debris,treatment,5
180,junk_doublet,treatment,5
181,CD4_T,treatment,5
182,junk_doublet,treatment,5
183,junk_doublet,treatment,5
184,B,treatment,5
185,Neutrophil,treatment,5
186,junk_dead,treatment,5
187,CD8_T,treatment,5
188,junk_debris,treatment,5
189,junk_debris,treatment,5
190,junk_dead,treatment,5
191,junk_doublet,treatment,5
192,junk_debris,treatment,5
193,junk_doublet,treatment,5
194,junk_doublet,treatment,5
195,CD4_T,treatment,5
196,junk_doublet,treatment,5
197,Myeloid,treatment,5
198,junk_doublet,treatment,5
199,junk_doublet,treatment,5
200,junk_debris,treatment,5
201,junk_debris,treatment,5
202,junk_debris,treatment,5
203,junk_dead,treatment,5
204,junk_dead,treatment,5
205,B,treatment,5
206,junk_doublet,treatment,5
207,junk_noise,treatment,5
208,junk_debris,treatment,5
209,junk_doublet,treatment,5
210,Neutrophil,treatment,5
211,CD8_T,treatment,5
212,junk_doublet,treatment,5
213,junk_noise,treatment,5
214,B,treatment,5
215,junk_debris,treatment,5
216,junk_noise,treatment,5
217,junk_doublet,treatment,5
218,junk_noise,treatment,5
219,junk_noise,treatment,5
220,junk_debris,treatment,5
221,DC,treatment,5
222,junk_doublet,treatment,5
223,B,treatment,5
224,B,treatment,5
225,junk_debris,treatment,5
226,junk_doublet,treatment,5
227,junk_doublet,treatment,5
228,junk_debris,treatment,5
229,junk_debris,treatment,5
230,junk_doublet,treatment,5
231,junk_noise,treatment,5
232,junk_debris,treatment,5
233,B,treatment,5
234,B,treatment,5
235,junk_dead,treatment,5
236,junk_debris,treatment,5
237,Neutrophil,treatment,5
238,junk_debris,treatment,5
239,NK,treatment,5
240,junk_doublet,treatment,5
241,CD4_T,treatment,5
242,CD8_T,treatment,5
243,CD8_T,treatment,5
244,junk_noise,treatment,5
245,junk_debris,treatment,5
246,junk_doublet,treatment,5
247,junk_dead,treatment,5
248,CD8_T,treatment,5
249,CD4_T,treatment,5
250,Myeloid,treatment,5
251,junk_debris,treatment,5
252,CD4_T,treatment,5
253,junk_dead,treatment,5
254,junk_doublet,treatment,5
255,junk_doublet,treatment,5
256,CD8_T,treatment,5
257,junk_debris,treatment,5
258,junk_noise,treatment,5
259,junk_debris,treatment,5
260,junk_noise,treatment,5
261,junk_debris,treatment,5
262,junk_noise,treatment,5
263,junk_doublet,treatment,5
264,CD8_T,treatment,5
265,junk_noise,treatment,5
266,junk_doublet,treatment,5
267,CD4_T,treatment,5
268,junk_debris,treatment,5
269,Neutrophil,treatment,5
270,junk_debris,treatment,5
271,junk_debris,treatment,5
272,junk_dead,treatment,5
273,junk_debris,treatment,5
274,junk_debris,treatment,5
275,junk_debris,treatment,5
276,junk_dead,treatment,5
277,junk_doublet,treatment,5
278,junk_noise,treatment,5
279,CD8_T,treatment,5
280,B,treatment,5
281,junk_noise,treatment,5
282,DC,treatment,5
283,junk_dead,treatment,5
284,junk_debris,treatment,5
285,B,treatment,5
286,junk_noise,treatment,5
287,Neutrophil,treatment,5
288,junk_doublet,treatment,5
289,B,treatment,5
290,Neutrophil,treatment,5
291,junk_debris,treatment,5
292,CD4_T,treatment,5
293,junk_doublet,treatment,5
294,junk_dead,treatment,5
295,junk_noise,treatment,5
296,junk_dead,treatment,5
297,CD4_T,treatment,5
298,CD4_T,treatment,5
299,Neutrophil,treatment,5
300,CD8_T,treatment,5
301,junk_noise,treatment,5
302,junk_debris,treatment,5
303,junk_doublet,treatment,5
304,junk_noise,treatment,5
305,CD8_T,treatment,5
306,CD8_T,treatment,5
307,junk_dead,treatment,5
308,junk_doublet,treatment,5
309,junk_debris,treatment,5
310,junk_dead,treatment,5
311,junk_dead,treatment,5
312,Myeloid,treatment,5
313,junk_debris,treatment,5
314,Myeloid,treatment,5
315,junk_doublet,treatment,5
316,Myeloid,treatment,5
317,junk_debris,treatment,5
318,junk_noise,treatment,5
319,CD4_T,treatment,5
320,CD8_T,treatment,5
321,junk_noise,treatment,5
322,junk_debris,treatment,5
323,CD4_T,treatment,5
324,B,treatment,5
325,Neutrophil,treatment,5
326,CD4_T,treatment,5
327,junk_doublet,treatment,5
328,B,treatment,5
329,junk_debris,treatment,5
330,junk_noise,treatment,5
331,junk_dead,treatment,5
332,junk_noise,treatment,5
333,CD8_T,treatment,5
334,junk_noise,treatment,5
335,junk_dead,treatment,5
336,junk_debris,treatment,5
337,junk_doublet,treatment,5
338,B,treatment,5
339,junk_debris,treatment,5
340,junk_dead,treatment,5
341,CD4_T,treatment,5
342,junk_dead,treatment,5
343,junk_dead,treatment,5
344,junk_debris,treatment,5
345,junk_dead,treatment,5
346,junk_dead,treatment,5
347,Myeloid,treatment,5
